actual_traffic,predicted_traffic,servers_needed,hourly_cost
1094,1118.248572112323,8,1.3312
973,959.7600472357987,8,1.3312
1002,987.5261745990506,8,1.3312
788,814.0870010546565,8,1.3312
703,665.1375086904468,8,1.3312
547,567.0962191013375,8,1.3312
473,468.7222265406993,8,1.3312
489,489.5546215624799,8,1.3312
454,449.76041576563136,8,1.3312
592,586.4560971621293,8,1.3312
649,637.9874540673457,8,1.3312
808,792.8428782964373,8,1.3312
922,898.6292850573833,8,1.3312
1097,1077.2831552368257,8,1.3312
1095,1086.0157389461963,8,1.3312
1203,1177.9549219160401,8,1.3312
1366,1315.9029200316213,8,1.3312
1389,1375.8528906662555,8,1.3312
1447,1427.131242606456,8,1.3312
1594,1556.5968324427172,8,1.3312
1511,1499.1288996716276,8,1.3312
1429,1385.0331528843114,8,1.3312
1352,1332.7975686470882,8,1.3312
1246,1235.1626554793988,8,1.3312
1133,1127.1216379220139,8,1.3312
1042,1043.9150936561136,8,1.3312
891,925.5193877045515,8,1.3312
812,808.554350836499,8,1.3312
622,674.7075114322506,8,1.3312
653,629.3600240742771,8,1.3312
533,540.522244456182,8,1.3312
558,552.3706012480045,8,1.3312
534,531.3056398563106,8,1.3312
661,651.1158945180574,8,1.3312
654,642.0552809243987,8,1.3312
873,873.2868141974747,8,1.3312
980,976.0369462436158,8,1.3312
1115,1114.0176878391426,8,1.3312
1223,1209.1797815635823,8,1.3312
1379,1350.3321229102764,8,1.3312
1483,1454.020971709324,8,1.3312
1554,1527.7420272170198,8,1.3312
1665,1597.3493797353171,8,1.3312
1705,1674.2803532024068,8,1.3312
1647,1610.3516390699658,8,1.3312
1430,1422.6888060677982,8,1.3312
1421,1379.1531117676914,8,1.3312
1390,1344.9592329785091,8,1.3312
1215,1212.535651539096,8,1.3312
1102,1099.5360091156517,8,1.3312
898,921.6540759718931,8,1.3312
781,799.7993339069981,8,1.3312
693,710.5959512565444,8,1.3312
383,417.93125786536825,8,1.3312
375,353.447979256984,8,1.3312
362,353.58432644318293,8,1.3312
260,273.04266441487425,8,1.3312
487,450.1480166223232,8,1.3312
560,554.1518450510271,8,1.3312
439,496.23782452282666,8,1.3312
582,568.7007539322528,8,1.3312
690,682.1563044243163,8,1.3312
748,738.7323263356456,8,1.3312
950,924.6614201548033,8,1.3312
933,946.979138999092,8,1.3312
1008,1001.0311430311837,8,1.3312
1000,992.8328352466706,8,1.3312
1063,1075.8164110997677,8,1.3312
994,1019.8492649668825,8,1.3312
966,928.0982510364635,8,1.3312
921,905.3891162543291,8,1.3312
861,871.4160241924075,8,1.3312
707,690.3269185308085,8,1.3312
652,617.0207395923985,8,1.3312
592,550.1832064532409,8,1.3312
595,562.8868037423763,8,1.3312
474,458.808566037636,8,1.3312
339,274.26936641061513,8,1.3312
406,363.3544022360338,8,1.3312
358,303.00946457713485,8,1.3312
464,393.8825185513515,8,1.3312
341,307.0606770110753,8,1.3312
453,435.4043476458901,8,1.3312
634,602.2142901677946,8,1.3312
686,693.0321100201008,8,1.3312
796,809.4538713072526,8,1.3312
816,826.458950791837,8,1.3312
936,983.6089745246809,8,1.3312
982,1011.0505041053111,8,1.3312
993,1017.1395856487816,8,1.3312
1036,1062.6915913918588,8,1.3312
1100,1113.4268601047233,8,1.3312
1039,1069.4864124640467,8,1.3312
982,991.1044199615717,8,1.3312
855,826.731322607344,8,1.3312
844,835.5377354618771,8,1.3312
742,699.7115319740645,8,1.3312
636,570.5795502399719,8,1.3312
615,569.9342455958979,8,1.3312
500,457.9127354213889,8,1.3312
443,409.4485281253094,8,1.3312
